Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,94020,2021,6,7,158,6,1,Y
IDCJAC0011,94020,2021,6,8,159,8.2,1,Y
IDCJAC0011,94020,2021,6,9,160,8.5,1,Y
IDCJAC0011,94020,2021,6,10,161,7,1,Y
IDCJAC0011,94020,2021,6,11,162,9.5,1,Y
IDCJAC0011,94020,2021,6,12,163,12.5,1,Y
IDCJAC0011,94020,2021,6,13,164,10.5,1,Y
IDCJAC0011,94020,2021,6,14,165,8.5,1,Y
IDCJAC0011,94020,2021,6,15,166,8.9,1,Y
IDCJAC0011,94020,2021,6,16,167,5,1,Y
IDCJAC0011,94020,2021,6,17,168,5.2,1,Y
IDCJAC0011,94020,2021,6,18,169,8.5,1,Y
IDCJAC0011,94020,2021,6,19,170,5,1,Y
IDCJAC0011,94020,2021,6,20,171,1.5,1,Y
IDCJAC0011,94020,2021,6,21,172,0,1,Y
IDCJAC0011,94020,2021,6,22,173,1,1,Y
IDCJAC0011,94020,2021,6,23,174,2.5,1,Y
IDCJAC0011,94020,2021,6,24,175,4.2,1,Y
IDCJAC0011,94020,2021,6,25,176,5.1,1,Y
IDCJAC0011,94020,2021,6,26,177,3.8,1,Y
IDCJAC0011,94020,2021,6,27,178,5,1,Y
IDCJAC0011,94020,2021,6,28,179,1.5,1,Y
IDCJAC0011,94020,2021,6,29,180,0.5,1,Y
IDCJAC0011,94020,2021,6,30,181,0.7,1,Y
IDCJAC0011,94020,2021,7,1,182,2.2,1,Y
IDCJAC0011,94020,2021,7,2,183,4,1,Y
IDCJAC0011,94020,2021,7,3,184,5,1,Y
IDCJAC0011,94020,2021,7,4,185,4.7,1,Y
IDCJAC0011,94020,2021,7,5,186,5.5,1,Y
IDCJAC0011,94020,2021,7,6,187,6.1,1,Y
IDCJAC0011,94020,2021,7,7,188,-1.3,1,Y
IDCJAC0011,94020,2021,7,8,189,0,1,Y
IDCJAC0011,94020,2021,7,9,190,-1.3,1,Y
IDCJAC0011,94020,2021,7,10,191,-1,1,Y
IDCJAC0011,94020,2021,7,11,192,0,1,Y
IDCJAC0011,94020,2021,7,12,193,1.6,1,Y
IDCJAC0011,94020,2021,7,13,194,2,1,Y
IDCJAC0011,94020,2021,7,14,195,7,1,Y
IDCJAC0011,94020,2021,7,15,196,4.2,1,Y
IDCJAC0011,94020,2021,7,16,197,4.5,1,Y
IDCJAC0011,94020,2021,7,17,198,2.8,1,Y
IDCJAC0011,94020,2021,7,18,199,3.5,1,Y
IDCJAC0011,94020,2021,7,19,200,5.5,1,Y
IDCJAC0011,94020,2021,7,20,201,5.8,1,Y
IDCJAC0011,94020,2021,7,21,202,2,1,Y
IDCJAC0011,94020,2021,7,22,203,4.5,1,Y
IDCJAC0011,94020,2021,7,23,204,6.5,1,Y
IDCJAC0011,94020,2021,7,24,205,3.5,1,Y
IDCJAC0011,94020,2021,7,25,206,3.5,1,Y
IDCJAC0011,94020,2021,7,26,207,2.6,1,Y
IDCJAC0011,94020,2021,7,27,208,4.3,1,Y
IDCJAC0011,94020,2021,7,28,209,8.6,1,Y
IDCJAC0011,94020,2021,7,29,210,3,1,Y
IDCJAC0011,94020,2021,7,30,211,4.1,1,Y
IDCJAC0011,94020,2021,7,31,212,6.6,1,Y
IDCJAC0011,94020,2021,8,1,213,5.2,1,Y
IDCJAC0011,94020,2021,8,2,214,0,1,Y
IDCJAC0011,94020,2021,8,3,215,1.6,1,Y
IDCJAC0011,94020,2021,8,4,216,3.6,1,Y
IDCJAC0011,94020,2021,8,5,217,5.8,1,Y
IDCJAC0011,94020,2021,8,6,218,7.6,1,Y
IDCJAC0011,94020,2021,8,7,219,8.8,1,Y
IDCJAC0011,94020,2021,8,8,220,0,1,Y
IDCJAC0011,94020,2021,8,9,221,0.5,1,Y
IDCJAC0011,94020,2021,8,10,222,2.5,1,Y
IDCJAC0011,94020,2021,8,11,223,8,1,Y
IDCJAC0011,94020,2021,8,12,224,5.5,1,Y
IDCJAC0011,94020,2021,8,13,225,8,1,Y
IDCJAC0011,94020,2021,8,14,226,6.3,1,Y
IDCJAC0011,94020,2021,8,15,227,8.8,1,Y
IDCJAC0011,94020,2021,8,16,228,3.8,1,Y
IDCJAC0011,94020,2021,8,17,229,4,1,Y
IDCJAC0011,94020,2021,8,18,230,5.7,1,Y
IDCJAC0011,94020,2021,8,19,231,6.5,1,Y
IDCJAC0011,94020,2021,8,20,232,3.1,1,Y
IDCJAC0011,94020,2021,8,21,233,5,1,Y
IDCJAC0011,94020,2021,8,22,234,8.4,1,Y
IDCJAC0011,94020,2021,8,23,235,7.5,1,Y
IDCJAC0011,94020,2021,8,24,236,-0.5,1,Y
IDCJAC0011,94020,2021,8,25,237,1,1,Y
IDCJAC0011,94020,2021,8,26,238,4,1,Y
IDCJAC0011,94020,2021,8,27,239,5,1,Y
IDCJAC0011,94020,2021,8,28,240,4.6,1,Y
IDCJAC0011,94020,2021,8,29,241,0.8,1,Y
IDCJAC0011,94020,2021,8,30,242,3,1,Y
IDCJAC0011,94020,2021,8,31,243,5,1,Y
IDCJAC0011,94020,2021,9,1,244,6.6,1,Y
IDCJAC0011,94020,2021,9,2,245,5,1,Y
IDCJAC0011,94020,2021,9,3,246,9.4,1,Y
IDCJAC0011,94020,2021,9,4,247,3.1,1,Y
IDCJAC0011,94020,2021,9,5,248,2.5,1,Y
IDCJAC0011,94020,2021,9,6,249,4,1,Y
IDCJAC0011,94020,2021,9,7,250,6,1,Y
IDCJAC0011,94020,2021,9,8,251,6,1,Y
IDCJAC0011,94020,2021,9,9,252,12,1,Y
IDCJAC0011,94020,2021,9,10,253,3.9,1,Y
IDCJAC0011,94020,2021,9,11,254,5.7,1,Y
IDCJAC0011,94020,2021,9,12,255,3,1,Y
IDCJAC0011,94020,2021,9,13,256,3,1,Y
IDCJAC0011,94020,2021,9,14,257,0,1,Y
IDCJAC0011,94020,2021,9,15,258,3.8,1,Y
IDCJAC0011,94020,2021,9,16,259,1,1,Y
IDCJAC0011,94020,2021,9,17,260,2.5,1,Y
IDCJAC0011,94020,2021,9,18,261,5.2,1,Y
IDCJAC0011,94020,2021,9,19,262,4.5,1,Y
IDCJAC0011,94020,2021,9,20,263,4.8,1,Y
IDCJAC0011,94020,2021,9,21,264,3.6,1,Y
IDCJAC0011,94020,2021,9,22,265,5.8,1,Y
IDCJAC0011,94020,2021,9,23,266,12,1,Y
IDCJAC0011,94020,2021,9,24,267,5,1,Y
IDCJAC0011,94020,2021,9,25,268,0.2,1,Y
IDCJAC0011,94020,2021,9,26,269,0.1,1,Y
IDCJAC0011,94020,2021,9,27,270,1.7,1,Y
IDCJAC0011,94020,2021,9,28,271,7.7,1,Y
IDCJAC0011,94020,2021,9,29,272,6,1,Y
IDCJAC0011,94020,2021,9,30,273,6.2,1,Y
IDCJAC0011,94020,2021,10,1,274,9.8,1,Y
IDCJAC0011,94020,2021,10,2,275,11.4,1,Y
IDCJAC0011,94020,2021,10,3,276,11.2,1,Y
IDCJAC0011,94020,2021,10,4,277,8.5,1,Y
IDCJAC0011,94020,2021,10,5,278,6.6,1,Y
IDCJAC0011,94020,2021,10,6,279,7.2,1,Y
IDCJAC0011,94020,2021,10,7,280,7.2,1,Y
IDCJAC0011,94020,2021,10,8,281,7,1,Y
IDCJAC0011,94020,2021,10,9,282,9.5,1,Y
IDCJAC0011,94020,2021,10,10,283,4,1,Y
IDCJAC0011,94020,2021,10,11,284,2.2,1,Y
IDCJAC0011,94020,2021,10,12,285,4.3,1,Y
IDCJAC0011,94020,2021,10,13,286,3.5,1,Y
IDCJAC0011,94020,2021,10,14,287,6.1,1,Y
IDCJAC0011,94020,2021,10,15,288,10.7,1,Y
IDCJAC0011,94020,2021,10,16,289,9.1,1,Y
IDCJAC0011,94020,2021,10,17,290,5.7,1,Y
IDCJAC0011,94020,2021,10,18,291,7.5,1,Y
IDCJAC0011,94020,2021,10,19,292,5.1,1,Y
IDCJAC0011,94020,2021,10,20,293,1.2,1,Y
IDCJAC0011,94020,2021,10,21,294,5,1,Y
IDCJAC0011,94020,2021,10,22,295,10,1,Y
IDCJAC0011,94020,2021,10,23,296,10,1,Y
IDCJAC0011,94020,2021,10,24,297,7.5,1,Y
IDCJAC0011,94020,2021,10,25,298,7,1,Y
IDCJAC0011,94020,2021,10,26,299,7.5,1,Y
IDCJAC0011,94020,2021,10,27,300,3.1,1,Y
IDCJAC0011,94020,2021,10,28,301,7.1,1,Y
IDCJAC0011,94020,2021,10,29,302,7,1,Y
IDCJAC0011,94020,2021,10,30,303,,,
IDCJAC0011,94020,2021,10,31,304,7,1,Y
IDCJAC0011,94020,2021,11,1,305,10.8,1,Y
IDCJAC0011,94020,2021,11,2,306,11.1,1,Y
IDCJAC0011,94020,2021,11,3,307,12.6,1,Y
IDCJAC0011,94020,2021,11,4,308,6.5,1,Y
IDCJAC0011,94020,2021,11,5,309,5,1,Y
IDCJAC0011,94020,2021,11,6,310,9,1,Y
IDCJAC0011,94020,2021,11,7,311,7.8,1,Y
IDCJAC0011,94020,2021,11,8,312,6.8,1,Y
IDCJAC0011,94020,2021,11,9,313,8.9,1,Y
IDCJAC0011,94020,2021,11,10,314,9,1,Y
IDCJAC0011,94020,2021,11,11,315,7.3,1,Y
IDCJAC0011,94020,2021,11,12,316,6.1,1,Y
IDCJAC0011,94020,2021,11,13,317,6.2,1,Y
IDCJAC0011,94020,2021,11,14,318,4.4,1,Y
